Country,Year,Region,Maternal mortality ratio,Proportion of births attended by skilled health personnel (%),"Infant mortality rate (deaths per 1,000 live births):::BOTHSEX","Infant mortality rate (deaths per 1,000 live births):::MALE","Infant mortality rate (deaths per 1,000 live births):::FEMALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::BOTHSEX","Under-five mortality rate, by sex (deaths per 1,000 live births):::MALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::FEMALE","Neonatal mortality rate (deaths per 1,000 live births)","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::BOTHSEX","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::MALE","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::FEMALE","Fraction of deaths due to diabetes, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Fraction of deaths due to cancer, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Suicide mortality rate, by sex (deaths per 100,000 population):::BOTHSEX","Suicide mortality rate, by sex (deaths per 100,000 population):::MALE","Suicide mortality rate, by sex (deaths per 100,000 population):::FEMALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::BOTHSEX","Death rate due to road traffic injuries, by sex (per 100,000 population):::MALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::FEMALE","Adolescent birth rate (per 1,000 women aged 15-19 years)",Universal health coverage (UHC) service coverage index,"Health worker density, by type of occupation (per 10,000 population)::PHYSICIAN","Health worker density, by type of occupation (per 10,000 population)::NURSEMIDWIFE","Health worker density, by type of occupation (per 10,000 population)::PHARMACIST"
Albania,2000,Europe,23,99.1,24.1,27.4,20.6,27.2,30.1,24.1,12.2,18.7,23.5,12.9,0.014,0.275,4.9,7,2.8,14.3,22.4,6.1,17.2,44,13.821,40.17,3.432
Armenia,2000,Asia,43,96.8,27,29.8,24.1,30.7,33.8,27.4,16.4,26.7,34.1,20.2,0.063,0.199,3.4,5.1,1.9,19.6,32.2,8.6,31.6,44,27.007,59.089,0.345
Armenia,2005,Asia,35,97.8,21.3,23.5,18.8,23.9,26.4,21.2,13,25.7,33.9,18.5,0.065,0.226,4.2,6.6,2.1,18.3,28.6,9.2,25.9,45,25.643,49.884,0.319
Armenia,2010,Asia,32,99.5,16.5,18.3,14.6,18.5,20.5,16.4,10.1,25,33.9,17.4,0.064,0.253,6.7,10.5,3.5,18,27.7,9.5,27.1,57,28.419,52.396,0.427
Australia,2000,Oceania,7,99.3,5.1,5.6,4.6,6.2,6.8,5.5,3.5,12.9,16,9.8,0.031,0.374,12.7,19.9,5.6,9.9,14,5.7,17.8,79,24.944,100.871,8.056
Australia,2005,Oceania,5,99.4,4.8,5.2,4.3,5.7,6.3,5.1,3.2,11.4,13.9,8.7,0.036,0.394,11.2,17.3,5.1,8.3,12.2,4.4,16.6,82,27.794,97.628,7.384
Australia,2010,Oceania,5,99.1,4,4.4,3.6,4.8,5.2,4.3,2.7,9.9,12.1,7.6,0.039,0.42,11.7,17.7,5.7,6.5,9.6,3.5,16.7,84,33.429,104.017,8.683
Australia,2015,Oceania,6,98.8,3.3,3.5,3,3.9,4.2,3.5,2.3,9.3,11.3,7.3,0.044,0.426,13.2,19.7,6.8,5.2,7.5,2.9,11.9,86,34.886,122.016,8.474
Austria,2000,Europe,6,98.3,4.6,5,4.1,5.5,6,4.9,3.1,15.3,20.2,10.7,0.022,0.297,19.9,29.8,10.6,12.5,19.3,6.1,13.7,59,38.492,56.942,5.616
Austria,2005,Europe,6,98.6,4.1,4.4,3.7,4.9,5.4,4.4,2.8,12.8,16.6,9.1,0.063,0.326,17.2,26.4,8.6,9.6,14.7,4.8,12.8,71,43.355,61.789,6.15
Austria,2010,Europe,5,98.5,3.6,3.9,3.2,4.3,4.8,3.9,2.5,12.4,16.2,8.8,0.051,0.335,16.1,25.1,7.6,6.8,10.2,3.5,10.2,76,48.016,67.211,6.634
Austria,2015,Europe,5,98.5,3,3.3,2.8,3.7,4.1,3.3,2.2,11.6,14.7,8.6,0.055,0.325,16,24.8,7.6,5.7,8.5,3,7.6,79,51.035,70.138,7.033
Azerbaijan,2000,Asia,47,80.7,61.1,65.9,56,74.6,79.7,69.3,33.5,32.5,39.7,25.5,0.041,0.121,3.1,5.1,1.2,8.2,13.1,3.4,29,42,35.743,86.612,2.923
Azerbaijan,2005,Asia,42,94.4,44.4,48.1,40.4,52.2,56.4,47.9,26.3,32.1,39.6,25,0.043,0.121,4.5,7.2,1.9,13.9,22.2,5.8,33.3,47,35.819,82.422,2.038
Azerbaijan,2010,Asia,31,99.4,32.6,35.6,29.5,37.4,40.8,33.9,19.9,29.8,37.4,22.6,0.043,0.126,4.6,7.3,1.9,11.4,18.2,4.7,60,54,36.629,73.513,2.027
Bahrain,2000,Asia,27,97.7,10.8,11.1,10.4,12.5,13,12,4.8,30.8,30.8,30.8,0.154,0.183,6.6,9.8,2.3,12,16.3,6.3,14.1,52,10.202,29.807,1.911
Bahrain,2005,Asia,19,97.5,9.1,9.4,8.8,10.6,11,10.2,3.6,24.8,25.2,24.3,0.205,0.2,10.3,14.6,3.8,15.6,21.9,6.2,16.3,67,10.436,26.867,1.844
Bahrain,2010,Asia,18,99.3,7.3,7.5,7.1,8.5,8.8,8.2,3.2,18.2,18.5,17.9,0.243,0.204,8.2,11.3,3.1,10.8,14.8,4.1,13.8,72,9.493,24.595,1.579
Bahrain,2015,Asia,15,99.9,6.5,6.7,6.3,7.6,7.8,7.3,3.2,16.4,16.2,16.8,0.27,0.218,7.4,10.4,2.5,7.5,10.5,2.7,14.6,75,9.257,24.944,1.618
Bangladesh,2010,Asia,258,26.5,38.6,41.1,36,48.7,51.3,45.9,28.3,21.5,24.9,17.7,0.062,0.215,4.4,6.3,2.4,16.9,27.5,5.9,118.3,37,3.635,1.83,0.825
Barbados,2005,Americas,42,100,14.4,15.5,13.1,15.7,17,14.3,9.9,16.7,19.1,14.6,0.151,0.329,2.9,4.1,1.8,8.7,15.6,2.3,46.2,69,17.698,47.448,9.084
Belarus,2010,Europe,5,99.9,4.2,4.7,3.7,5.5,6.2,4.8,1.8,30.8,44.8,18.4,0.005,0.198,35.9,64.3,11.2,21.9,35.6,10,20.7,68,32.498,106.145,2.899
Bosnia and Herzegovina,2000,Europe,17,98.9,8.7,9.6,7.7,9.9,11,8.7,6.9,22,27.4,17,0.043,0.26,9,14.3,4,19,28.2,10.2,16.6,39,14.547,44.687,1.013
