Country,Year,Region,Maternal mortality ratio,Proportion of births attended by skilled health personnel (%),"Infant mortality rate (deaths per 1,000 live births):::BOTHSEX","Infant mortality rate (deaths per 1,000 live births):::MALE","Infant mortality rate (deaths per 1,000 live births):::FEMALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::BOTHSEX","Under-five mortality rate, by sex (deaths per 1,000 live births):::MALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::FEMALE","Neonatal mortality rate (deaths per 1,000 live births)","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::BOTHSEX","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::MALE","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::FEMALE","Fraction of deaths due to diabetes, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Fraction of deaths due to cancer, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Suicide mortality rate, by sex (deaths per 100,000 population):::BOTHSEX","Suicide mortality rate, by sex (deaths per 100,000 population):::MALE","Suicide mortality rate, by sex (deaths per 100,000 population):::FEMALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::BOTHSEX","Death rate due to road traffic injuries, by sex (per 100,000 population):::MALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::FEMALE","Adolescent birth rate (per 1,000 women aged 15-19 years)",Universal health coverage (UHC) service coverage index,"Health worker density, by type of occupation (per 10,000 population)::PHYSICIAN","Health worker density, by type of occupation (per 10,000 population)::NURSEMIDWIFE","Health worker density, by type of occupation (per 10,000 population)::PHARMACIST"
Armenia,2010,Asia,32,99.5,16.5,18.3,14.6,18.5,20.5,16.4,10.1,25.0,33.9,17.4,0.064,0.253,6.7,10.5,3.5,18.0,27.7,9.5,27.1,57,28.419,52.396,0.427
Australia,2010,Oceania,5,99.1,4.0,4.4,3.6,4.8,5.2,4.3,2.7,9.9,12.1,7.6,0.039,0.42,11.7,17.7,5.7,6.5,9.6,3.5,16.7,84,33.429,104.017,8.683
Austria,2010,Europe,5,98.5,3.6,3.9,3.2,4.3,4.8,3.9,2.5,12.4,16.2,8.8,0.051,0.335,16.1,25.1,7.6,6.8,10.2,3.5,10.2,76,48.016,67.211,6.634
Azerbaijan,2010,Asia,31,99.4,32.6,35.6,29.5,37.4,40.8,33.9,19.9,29.8,37.4,22.6,0.043,0.126,4.6,7.3,1.9,11.4,18.2,4.7,60.0,54,36.629,73.513,2.027
Bahrain,2010,Asia,18,99.3,7.3,7.5,7.1,8.5,8.8,8.2,3.2,18.2,18.5,17.9,0.243,0.204,8.2,11.3,3.1,10.8,14.8,4.1,13.8,72,9.493,24.595,1.579
Bangladesh,2010,Asia,258,26.5,38.6,41.1,36.0,48.7,51.3,45.9,28.3,21.5,24.9,17.7,0.062,0.215,4.4,6.3,2.4,16.9,27.5,5.9,118.3,37,3.635,1.83,0.825
Belarus,2010,Europe,5,99.9,4.2,4.7,3.7,5.5,6.2,4.8,1.8,30.8,44.8,18.4,0.005,0.198,35.9,64.3,11.2,21.9,35.6,10.0,20.7,68,32.498,106.145,2.899
Bosnia and Herzegovina,2010,Europe,11,99.9,6.3,6.9,5.6,7.2,7.9,6.4,5.1,20.1,25.3,15.2,0.079,0.257,10.5,16.8,4.5,16.9,26.7,7.4,13.5,56,17.987,54.867,1.001
Cabo Verde,2010,Africa,70,98.5,22.1,24.2,20.0,26.3,28.6,23.8,15.3,14.8,17.6,12.5,0.086,0.306,14.8,24.7,4.9,23.5,37.1,10.1,80.0,61,5.928,11.023,0.081
Chile,2010,Americas,20,99.8,7.4,8.0,6.8,8.7,9.4,7.9,5.3,12.9,15.7,10.5,0.061,0.386,11.6,19.1,4.4,12.5,20.1,5.2,53.5,61,28.665,12.67,2.636
